RecordID,Park,Animal,Visitors,TempC,RainfallMM,Season,Detected,ModelScore,VisitDate
59,Murchison Falls,Chimpanzee,460,31.1,54,Wet,Yes,0.59,12/22/2024
60,Lake Mburo,Buffalo,45,27.5,62,Wet,Yes,0.89,12/7/2024
61,Lake Mburo,Leopard,324,23.4,226,Summer,No,0.94,8/31/2024
62,Bwindi,Gorilla,404,22.2,141,Wet,Yes,0.63,2/9/2024
63,Kibale,Gorilla,140,22.6,163,Dry,Yes,0.57,7/15/2024
64,Kibale,Lion,381,21.6,212,Wet,No,0.77,7/31/2024
65,Murchison Falls,Lion,446,25.1,299,Dry,No,0.73,6/29/2024
66,Kidepo,Chimpanzee,219,32.5,214,Dry,No,0.61,8/11/2024
67,Bwindi,Elephant,219,23.7,207,Dry,No,0.95,11/14/2024
68,Lake Mburo,Elephant,484,24.7,288,Dry,Yes,0.81,3/10/2024
69,Mgahinga,Buffalo,113,18.9,194,Wet,Yes,0.72,6/21/2024
70,Mgahinga,Buffalo,162,30.8,215,Wet,Yes,0.73,10/3/2024
71,Murchison Falls,Gorilla,134,29.1,20,Dry,Yes,0.6,1/11/2024
72,Lake Mburo,Lion,142,20.1,58,Dry,No,0.84,7/7/2024
73,Queen Elizabeth,Leopard,330,34.4,58,Dry,No,0.55,1/14/2024
74,Kidepo,Leopard,366,33.4,192,Wet,Yes,0.54,12/19/2024
75,Mgahinga,Hippo,144,19.7,154,Dry,Yes,0.67,8/7/2024
76,Kibale,Gorilla,55,26.6,174,Dry,No,0.9,2/24/2024
77,Bwindi,Gorilla,345,33.2,235,Dry,No,0.59,9/24/2024
78,Kibale,Gorilla,335,31.7,275,Wet,No,0.71,10/30/2024
79,Kidepo,Gorilla,456,22.2,44,Wet,No,0.62,8/25/2024
80,Lake Mburo,Leopard,362,24.4,14,Wet,No,0.59,4/18/2024
81,Kidepo,Chimpanzee,152,23.8,141,Dry,Maybe,0.54,7/27/2024
82,Bwindi,Leopard,408,22.1,243,Wet,No,0.89,2/17/2024
83,Kidepo,Lion,227,29.8,156,Wet,No,0.77,6/25/2024
84,Bwindi,Hippo,301,23.6,232,Wet,No,0.62,3/2/2024
85,Kibale,Lion,181,20,274,Dry,Yes,0.61,9/4/2024
86,Kidepo,Hippo,321,34.6,268,Wet,Yes,0.91,5/31/2024
87,Queen Elizabeth,Gorilla,111,23.1,273,Dry,No,0.52,1/28/2024
88,Lake Mburo,Gorilla,377,34,251,Dry,Yes,0.78,8/28/2024
89,Bwindi,Buffalo,194,21.1,26,Wet,No,0.56,2/3/2024
90,Bwindi,Buffalo,57,27.8,27,Dry,Yes,0.9,6/4/2024
91,Murchison Falls,Lion,80,27.5,213,Dry,No,0.72,8/14/2024
92,Kidepo,Chimpanzee,321,34.8,156,Dry,Yes,0.96,4/16/2024
93,Kibale,Lion,155,29.2,80,Dry,Yes,0.77,3/21/2024
94,Murchison Falls,Buffalo,250,29.7,240,Wet,Yes,0.61,12/27/2024
95,Kidepo,Hippo,460,25.7,119,Wet,Yes,0.71,10/5/2024
96,Queen Elizabeth,Hippo,96,33.4,72,Dry,Yes,0.58,6/6/2024
97,Lake Mburo,Hippo,442,27.7,147,Wet,Yes,0.73,6/4/2024
98,Kibale,Buffalo,159,26.5,252,Wet,Yes,0.79,8/9/2024
99,Kibale,Gorilla,329,22.3,46,Dry,Yes,0.99,12/10/2024
100,Mgahinga,Gorilla,315,18.7,89,Wet,No,0.95,4/2/2024
101,Lake Mburo,Buffalo,345,31.8,46,Wet,No,1.5,6/13/2024
102,Kibale,Elephant,459,20.7,210,Wet,No,0.82,7/24/2024
103,Mgahinga,Chimpanzee,301,18.6,45,Wet,No,0.66,7/25/2024
104,Mgahinga,Leopard,442,34.8,277,Wet,No,0.53,9/22/2024
105,Kidepo,Leopard,407,26.5,226,Dry,Yes,0.63,3/8/2024
106,Kidepo,Buffalo,470,29.9,62,Dry,Yes,0.85,6/8/2024
107,Lake Mburo,Elephant,302,24.9,115,Dry,No,0.96,11/27/2024
108,Mgahinga,Lion,275,33.9,149,Wet,No,0.91,8/29/2024
109,Queen Elizabeth,Buffalo,302,20.5,97,Dry,Yes,0.64,7/31/2024
110,Kidepo,Chimpanzee,279,22.5,1,Wet,No,0.91,10/23/2024
111,Kibale,Buffalo,463,20.5,275,Wet,No,0.66,10/5/2024
112,Bwindi,Buffalo,497,23.5,96,Dry,No,0.61,7/29/2024
113,Murchison Falls,Gorilla,401,26,195,Wet,Yes,0.74,1/19/2024
114,Queen Elizabeth,Leopard,322,23.6,51,Wet,Yes,0.76,8/21/2024
115,Murchison Falls,Hippo,93,25,79,Dry,No,0.88,5/15/2024
116,Kidepo,Leopard,374,24.8,41,Wet,No,0.97,11/16/2024
117,Kibale,Chimpanzee,269,32.8,18,Dry,Yes,0.81,5/27/2024
118,Queen Elizabeth,Hippo,66,25.4,50,Dry,No,0.58,6/2/2024
119,Murchison Falls,Elephant,186,31.5,150,Wet,No,0.71,5/5/2024
120,Lake Mburo,Buffalo,309,29.6,92,Dry,Yes,0.54,7/14/2024
121,UnknownPark,Hippo,143,26.5,298,Dry,Yes,0.73,5/10/2024
122,Bwindi,Gorilla,361,18.2,238,Wet,Yes,0.54,6/25/2024
123,Lake Mburo,Gorilla,347,34.4,128,Wet,No,0.6,7/15/2024
124,Mgahinga,Buffalo,74,22,292,Wet,No,0.99,5/31/2024
125,Murchison Falls,Chimpanzee,357,24.7,4,Dry,No,0.91,5/26/2024
126,Mgahinga,Chimpanzee,137,28.3,180,Dry,Yes,0.8,12/13/2024
127,Mgahinga,Hippo,412,29.2,70,Dry,Yes,0.65,8/13/2024
128,Murchison Falls,Leopard,206,30.5,46,Wet,No,0.87,3/30/2024
129,Queen Elizabeth,Lion,422,27.2,187,Wet,Yes,0.63,9/3/2024
130,Mgahinga,Gorilla,402,32.8,58,Wet,Yes,0.57,4/25/2024
131,Mgahinga,Hippo,390,29.5,203,Wet,Yes,0.89,1/8/2024
132,Kidepo,Leopard,83,25.7,134,Wet,No,0.55,4/29/2024
133,Bwindi,Elephant,337,33,287,Wet,Yes,0.82,11/21/2024
134,Mgahinga,Buffalo,485,29.9,209,Dry,Yes,0.52,1/20/2024
135,Kidepo,Buffalo,79,19.7,275,Dry,No,0.72,12/9/2024
136,Kibale,Hippo,296,25.1,79,Wet,Yes,0.91,11/11/2024
137,Bwindi,Gorilla,36,29.7,111,Wet,No,0.97,7/4/2024
138,Murchison Falls,Hippo,208,27.3,183,Dry,No,0.64,3/3/2024
139,Mgahinga,Chimpanzee,252,19.6,108,Dry,Yes,0.89,5/4/2024
140,Queen Elizabeth,Chimpanzee,309,21.5,283,Dry,Yes,0.9,4/29/2024
141,Kidepo,Chimpanzee,95,31.4,1,Wet,Yes,0.98,12/31/2024
142,Kidepo,Chimpanzee,109,19.9,13,Dry,Yes,0.68,5/1/2024
143,Lake Mburo,Gorilla,28,21,26,Dry,No,0.76,2/2/2024
144,Bwindi,Buffalo,418,24.2,55,Wet,Yes,0.96,1/23/2024
145,Kibale,Chimpanzee,485,32.7,266,Wet,No,0.82,1/16/2024
146,Murchison Falls,Buffalo,453,24.8,55,Wet,No,0.54,2/11/2024
147,Kidepo,Leopard,95,19.1,140,Wet,No,0.99,9/28/2024
148,Kidepo,Buffalo,278,28.3,50,Dry,Yes,0.71,4/26/2024
149,Bwindi,Gorilla,443,25.7,212,Dry,No,0.71,12/6/2024
150,Kidepo,Gorilla,98,29.7,242,Dry,Yes,0.91,2/17/2024
151,Bwindi,Elephant,401,30.6,66,Dry,No,0.83,7/29/2024
152,Kidepo,Chimpanzee,360,34,216,Dry,No,0.79,6/29/2024
153,Murchison Falls,Leopard,279,21.6,246,Dry,Yes,0.67,10/11/2024
154,Kidepo,Elephant,410,22.7,115,Wet,Yes,0.8,12/2/2024
155,Mgahinga,Hippo,156,18.5,139,Wet,No,0.67,4/2/2024
156,Mgahinga,Lion,309,29.2,35,Dry,Yes,0.54,9/28/2024
157,Queen Elizabeth,Buffalo,234,25.7,80,Wet,No,0.85,10/17/2024
158,Lake Mburo,Elephant,472,18.9,80,Dry,Yes,0.63,12/4/2024
159,Bwindi,Buffalo,330,25.5,139,Dry,Yes,0.67,2/26/2024
160,Kidepo,Hippo,367,28.1,269,Wet,Yes,0.61,11/2/2024
161,Murchison Falls,Elephant,124,23.1,108,Dry,No,0.64,31-01-2024
162,Murchison Falls,Buffalo,402,25.3,66,Wet,Yes,0.75,12/8/2024
163,Mgahinga,Gorilla,56,24.8,21,Wet,Yes,0.73,2/9/2024
164,Mgahinga,Gorilla,314,25.3,207,Wet,No,0.56,1/11/2024
165,Kidepo,Lion,430,34.1,235,Wet,Yes,0.71,2/24/2024
166,Queen Elizabeth,Buffalo,321,24.8,40,Wet,No,0.87,4/23/2024
167,Kidepo,Chimpanzee,106,19.3,58,Dry,No,0.67,11/26/2024
168,Mgahinga,Lion,140,19.7,131,Dry,Yes,0.8,12/1/2024
169,Murchison Falls,Lion,415,28.7,237,Wet,No,0.92,11/17/2024
170,Kidepo,Lion,245,19.2,226,Wet,No,0.79,6/29/2024
171,Lake Mburo,Elephant,178,25.8,19,Dry,No,0.91,2/9/2024
172,Kibale,Chimpanzee,457,19.5,259,Wet,No,0.78,1/22/2024
173,Bwindi,Chimpanzee,312,29.1,164,Wet,Yes,0.97,8/18/2024
174,Murchison Falls,Chimpanzee,480,32.2,43,Dry,Yes,0.62,8/12/2024
175,Bwindi,Leopard,287,28.4,186,Wet,No,0.69,6/22/2024
176,Kibale,Leopard,46,31.4,171,Dry,No,0.55,12/13/2024
177,Bwindi,Gorilla,149,30.3,76,Wet,Yes,0.79,3/13/2024
178,Kidepo,Gorilla,355,29.9,200,Dry,Yes,0.65,7/11/2024
179,Kibale,Chimpanzee,188,31.8,269,Dry,No,0.75,1/10/2024
180,Kidepo,Gorilla,112,34.2,174,Wet,Yes,0.61,3/11/2024
181,Queen Elizabeth,Elephant,171,"25,5",51,Dry,No,0.93,11/12/2024
182,Queen Elizabeth,Leopard,212,20.6,92,Dry,No,0.52,7/5/2024
183,Kibale,Hippo,141,34.5,145,Wet,Yes,0.76,6/7/2024
184,Mgahinga,Chimpanzee,260,33.4,99,Wet,No,0.73,5/24/2024
185,Mgahinga,Buffalo,277,27,82,Dry,Yes,0.93,1/27/2024
186,Kibale,Buffalo,467,24.3,52,Dry,No,0.54,3/23/2024
187,Kidepo,Buffalo,483,26.7,223,Dry,Yes,0.9,6/27/2024
188,Murchison Falls,Buffalo,47,24.7,191,Dry,No,0.99,7/10/2024
189,Queen Elizabeth,Elephant,183,33.8,171,Dry,Yes,0.52,8/29/2024
190,Kibale,Chimpanzee,91,30.9,240,Wet,Yes,0.94,1/10/2024
191,Kidepo,Lion,447,20.5,270,Wet,Yes,0.88,5/1/2024
192,Kidepo,Elephant,44,22.1,234,Dry,Yes,0.91,9/12/2024
193,Lake Mburo,Leopard,28,28.7,294,Dry,Yes,0.64,1/1/2024
194,Lake Mburo,Gorilla,143,27.7,95,Dry,No,0.53,9/26/2024
195,Lake Mburo,Leopard,422,34.8,283,Dry,No,0.93,1/23/2024
196,Kibale,Buffalo,211,22.3,8,Wet,Yes,0.67,12/2/2024
197,Kibale,Elephant,415,27.9,170,Dry,Yes,0.67,6/22/2024
198,Mgahinga,Hippo,109,32.1,237,Wet,Yes,0.9,2/2/2024
199,Kibale,Chimpanzee,254,18.6,103,Dry,Yes,0.93,6/10/2024
200,Kidepo,Leopard,223,34.8,278,Wet,No,0.52,11/27/2024
201,Queen Elizabeth,Gorilla,202,32.7,,Wet,No,0.56,7/7/2024
202,Bwindi,Buffalo,400,25.5,197,Wet,Yes,0.74,9/11/2024
203,Kidepo,Chimpanzee,285,22.5,42,Wet,Yes,0.71,4/2/2024
204,Lake Mburo,Gorilla,184,19.7,167,Wet,No,0.72,8/6/2024
205,Queen Elizabeth,Hippo,247,24,21,Wet,No,0.63,1/30/2024
206,Murchison Falls,Hippo,346,24.9,262,Dry,Yes,0.57,11/7/2024
207,Kibale,Chimpanzee,244,18.6,34,Dry,No,0.68,10/17/2024
208,Murchison Falls,Leopard,98,29.5,189,Wet,No,0.87,10/20/2024
209,Queen Elizabeth,Leopard,207,24.8,142,Dry,Yes,0.51,4/5/2024
210,Bwindi,Leopard,218,33.5,60,Wet,No,0.84,4/19/2024
211,Lake Mburo,Gorilla,375,33.6,251,Dry,Yes,0.57,2/7/2024
212,Bwindi,Lion,480,30.1,44,Wet,No,0.85,10/8/2024
213,Lake Mburo,Gorilla,476,23.1,80,Dry,No,0.75,3/3/2024
214,Queen Elizabeth,Chimpanzee,91,22,252,Dry,No,0.77,7/7/2024
215,Bwindi,Chimpanzee,302,20.2,44,Dry,No,0.7,9/2/2024
216,Lake Mburo,Buffalo,413,25,294,Dry,Yes,0.98,11/24/2024
217,Murchison Falls,Buffalo,258,29.6,176,Dry,Yes,0.88,3/7/2024
218,Bwindi,Leopard,486,32.8,63,Dry,No,0.58,6/14/2024
219,Kibale,Lion,197,34.1,265,Wet,Yes,0.62,11/21/2024
220,Lake Mburo,Gorilla,84,28.6,273,Dry,Yes,0.79,10/24/2024
ID-221,Queen Elizabeth,Lion,357,28.6,172,Dry,Yes,0.54,11/24/2024
222,Mgahinga,Leopard,155,29.1,292,Wet,Yes,0.74,11/17/2024
223,Lake Mburo,Gorilla,348,34.3,247,Dry,No,0.65,2/7/2024
224,Kibale,Elephant,100,25.5,247,Wet,Yes,0.67,3/14/2024
225,Kidepo,Chimpanzee,387,23.4,176,Wet,Yes,0.87,9/20/2024
226,Lake Mburo,Elephant,183,22.1,62,Wet,No,0.62,2/19/2024
227,Murchison Falls,Gorilla,216,32.7,214,Dry,Yes,0.9,10/22/2024
228,Kibale,Gorilla,117,31,255,Wet,No,0.93,9/11/2024
229,Murchison Falls,Elephant,221,26.6,123,Dry,No,0.52,5/24/2024
230,Bwindi,Leopard,471,32.3,240,Wet,Yes,0.92,8/8/2024
231,Queen Elizabeth,Gorilla,392,24.2,206,Wet,Yes,0.7,10/18/2024
232,Lake Mburo,Lion,205,27.4,37,Wet,No,0.87,5/23/2024
233,Mgahinga,Leopard,368,28.4,65,Dry,No,0.68,6/22/2024
234,Lake Mburo,Gorilla,406,20.5,260,Wet,Yes,0.52,3/11/2024
235,Kibale,Gorilla,431,26.1,233,Dry,Yes,0.66,11/9/2024
236,Kidepo,Lion,221,34.8,153,Wet,No,0.85,6/2/2024
237,Bwindi,Chimpanzee,28,24.3,56,Wet,No,0.89,12/18/2024
238,Kibale,Elephant,325,26.1,296,Dry,Yes,0.79,3/28/2024
239,Lake Mburo,Hippo,389,28.5,194,Dry,Yes,0.52,12/24/2024
240,Murchison Falls,Lion,29,25.5,214,Dry,No,0.84,7/29/2024
241,Lake Mburo,Chimpanzee,333,33.6,31,Dry,Yes,0.77,12/5/2024
242,Bwindi,Leopard,212,23.3,88,Wet,No,0.77,12/12/2024
243,Mgahinga,Chimpanzee,389,29.6,135,Wet,Yes,0.97,5/22/2024
244,Lake Mburo,Gorilla,135,34,152,Wet,Yes,0.84,9/7/2024
245,Kidepo,Buffalo,198,27.5,140,Wet,Yes,0.78,10/5/2024
246,Bwindi,Buffalo,439,23.9,74,Wet,Yes,0.64,12/31/2024
247,Murchison Falls,Gorilla,493,25.5,131,Wet,Yes,0.6,10/2/2024
248,Kidepo,Leopard,376,22.6,55,Dry,Yes,0.52,9/28/2024
249,Queen Elizabeth,Hippo,139,18.9,211,Wet,No,0.55,3/11/2024
250,Murchison Falls,Leopard,495,20.7,243,Wet,Yes,0.87,5/27/2024
251,Kidepo,Gorilla,350,19,45,Dry,Yes,0.95,3/30/2024
252,Bwindi,Chimpanzee,110,33.9,18,Wet,No,0.59,5/28/2024
253,Murchison Falls,Elephant,172,27.7,54,Wet,No,0.72,11/24/2024
254,Lake Mburo,Leopard,272,33.1,68,Wet,No,0.59,2/27/2024
255,Kidepo,Lion,394,25.8,131,Dry,Yes,0.86,5/31/2024
256,Lake Mburo,Hippo,407,21.3,207,Wet,No,0.54,12/8/2024
257,Murchison Falls,Lion,91,26.1,127,Dry,No,0.69,8/16/2024
258,Mgahinga,Gorilla,188,23.1,293,Dry,No,0.82,12/20/2024
259,Queen Elizabeth,Elephant,361,20,157,Dry,No,0.84,12/26/2024
260,Mgahinga,Gorilla,373,20,151,Wet,Yes,0.61,3/9/2024
261,Bwindi,Lion,252,30.7,191,Wet,No,0.87,12/6/2024
262,Mgahinga,Lion,410,22.2,41,Wet,No,0.54,10/15/2024
263,Murchison Falls,Elephant,444,27.3,258,Dry,Yes,0.58,9/23/2024
264,Bwindi,Elephant,368,21.5,298,Wet,Yes,0.94,8/16/2024
265,Mgahinga,Elephant,252,20.2,212,Wet,Yes,0.77,12/10/2024
266,Mgahinga,Gorilla,390,18.4,130,Dry,Yes,0.78,1/24/2024
267,Bwindi,Gorilla,378,19.1,30,Dry,No,0.52,7/28/2024
268,Queen Elizabeth,Chimpanzee,89,31,215,Wet,No,0.72,7/12/2024
269,Bwindi,Elephant,369,34.4,276,Dry,No,0.56,10/2/2024
270,Bwindi,Leopard,85,30.4,114,Dry,Yes,0.98,8/25/2024
271,Kibale,Hippo,298,25.2,194,Dry,Yes,0.73,3/20/2024
272,Kidepo,Lion,499,32.9,57,Dry,No,0.8,1/9/2024
273,Queen Elizabeth,Lion,54,19.7,17,Wet,Yes,0.62,1/23/2024
274,Bwindi,Buffalo,139,27.2,28,Dry,No,0.61,10/21/2024
275,Kidepo,Leopard,326,31.1,164,Dry,No,0.93,12/4/2024
276,Lake Mburo,Lion,231,23.1,31,Dry,No,0.77,1/25/2024
277,Kidepo,Hippo,363,24.5,268,Wet,No,0.7,6/2/2024
278,Bwindi,Lion,406,27.1,123,Dry,No,0.92,3/14/2024
279,Mgahinga,Buffalo,488,19,211,Wet,Yes,0.69,5/10/2024
280,Queen Elizabeth,Gorilla,351,19.3,230,Wet,Yes,0.76,4/7/2024
281,Murchison Falls,Gorilla,213,29.5,20,Dry,Yes,0.89,10/27/2024
282,Kibale,Hippo,306,21.7,106,Wet,No,0.97,1/8/2024
283,Queen Elizabeth,Lion,399,20,245,Dry,Yes,0.69,5/2/2024
284,Lake Mburo,Gorilla,417,22.8,238,Wet,No,0.63,9/19/2024
285,Bwindi,Buffalo,70,31.6,240,Wet,Yes,0.68,7/30/2024
286,Murchison Falls,Leopard,462,21.8,74,Dry,No,0.77,10/26/2024
287,Lake Mburo,Hippo,233,23,100,Wet,Yes,0.69,5/5/2024
288,Bwindi,Leopard,355,34,172,Wet,No,0.97,11/24/2024
289,Kibale,Buffalo,255,20.9,180,Dry,Yes,0.85,9/7/2024
290,Queen Elizabeth,Leopard,348,34.3,268,Dry,Yes,0.96,12/8/2024
291,Murchison Falls,Chimpanzee,23,25,118,Dry,Yes,0.5,9/15/2024
292,Bwindi,Gorilla,50,28.5,247,Wet,Yes,0.5,10/9/2024
293,Bwindi,Elephant,28,27,140,Wet,Yes,0.75,12/23/2024
294,Kibale,Buffalo,432,34,91,Dry,Yes,0.76,5/3/2024
295,Queen Elizabeth,Leopard,289,22.3,181,Wet,No,0.54,7/26/2024
296,Bwindi,Leopard,144,34.8,115,Wet,Yes,0.82,11/28/2024
297,Mgahinga,Elephant,67,24.9,193,Wet,Yes,0.81,12/25/2024
298,Queen Elizabeth,Elephant,275,32.4,169,Dry,Yes,0.61,12/20/2024
299,Lake Mburo,Buffalo,158,18.8,38,Wet,Yes,0.59,6/10/2024
300,Murchison Falls,Lion,320,20.5,203,Dry,No,0.58,5/3/2024
301,Lake Mburo,Chimpanzee,454,24.6,276,Wet,No,0.87,3/12/2024
302,Mgahinga,Hippo,390,19.3,177,Dry,Yes,0.71,2/8/2024
303,Kidepo,Leopard,413,28.4,203,Wet,Yes,0.81,8/18/2024
304,Bwindi,Lion,202,27.4,192,Wet,Yes,0.83,12/4/2024
305,Bwindi,Elephant,415,28.5,126,Dry,Yes,0.63,7/13/2024
306,Kibale,Chimpanzee,344,20.6,199,Wet,No,0.55,1/3/2024
307,Kidepo,Buffalo,204,30.9,52,Dry,Yes,0.59,8/17/2024
308,Lake Mburo,Leopard,282,24.9,13,Dry,No,0.77,11/1/2024
309,Lake Mburo,Chimpanzee,186,32.7,6,Wet,No,0.69,2/13/2024
310,Kibale,Leopard,483,34.9,124,Dry,No,0.58,5/17/2024
311,Kidepo,Gorilla,272,20.5,85,Wet,No,0.71,9/4/2024
312,Mgahinga,Elephant,204,22.3,126,Wet,Yes,0.72,3/10/2024
313,Kidepo,Elephant,222,23.6,194,Wet,No,0.66,11/29/2024
314,Lake Mburo,Lion,173,23.5,102,Wet,No,0.59,7/22/2024
315,Kidepo,Gorilla,396,29.8,251,Dry,No,0.68,7/20/2024
316,Kidepo,Elephant,497,27.6,279,Dry,Yes,0.97,8/24/2024
317,Kibale,Lion,244,31.6,35,Wet,No,0.57,6/4/2024
318,Queen Elizabeth,Gorilla,357,20.6,216,Wet,Yes,0.72,11/2/2024
319,Bwindi,Leopard,225,27.1,214,Dry,No,0.84,10/1/2024
320,Lake Mburo,Hippo,488,19.4,127,Wet,Yes,0.82,1/23/2024
321,Lake Mburo,Hippo,366,29,169,Wet,Yes,0.51,5/12/2024
322,Queen Elizabeth,Leopard,402,26.8,297,Dry,No,0.68,8/25/2024
323,Mgahinga,Hippo,321,29.7,77,Wet,Yes,0.74,5/31/2024
324,Bwindi,Elephant,79,32.1,72,Wet,No,0.67,4/15/2024
325,Lake Mburo,Buffalo,198,26.1,224,Wet,No,0.53,1/23/2024
326,Mgahinga,Hippo,78,18.4,175,Dry,Yes,0.96,5/4/2024
327,Lake Mburo,Lion,302,20.7,286,Wet,No,0.61,7/26/2024
328,Kibale,Lion,115,28.9,221,Wet,Yes,0.86,4/11/2024
329,Bwindi,Leopard,239,24.6,109,Dry,No,0.87,2/2/2024
330,Lake Mburo,Elephant,429,32.8,95,Wet,No,0.6,2/28/2024
331,Kidepo,Hippo,461,26.3,160,Wet,No,0.79,6/27/2024
332,Kidepo,Chimpanzee,254,28.5,152,Dry,Yes,0.65,5/2/2024
333,Kidepo,Elephant,113,24.3,72,Wet,No,0.79,10/21/2024
334,Bwindi,Buffalo,115,26.3,275,Dry,Yes,0.74,3/12/2024
335,Queen Elizabeth,Gorilla,451,25.7,27,Wet,Yes,0.74,4/9/2024
336,Mgahinga,Buffalo,307,26.6,253,Wet,No,0.7,8/15/2024
337,Bwindi,Lion,62,27.6,112,Wet,Yes,0.63,10/2/2024
338,Kidepo,Lion,419,25.8,253,Dry,Yes,0.63,10/5/2024
339,Mgahinga,Gorilla,297,32,21,Wet,Yes,0.98,2/22/2024
340,Kibale,Chimpanzee,354,30.8,152,Dry,No,0.63,2/14/2024
341,Bwindi,Chimpanzee,80,31.2,121,Dry,No,0.92,11/8/2024
342,Kibale,Buffalo,104,28.5,105,Dry,Yes,0.78,9/29/2024
343,Kidepo,Leopard,295,20.9,149,Wet,No,0.97,9/20/2024
